geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US24510270902,"Census Tract 2709.02, Baltimore, MD",5363,568,5271,582,244,86,4761,618,0,17,37,29,0,17,81,105,148,123,0,17,148,123,92,66,20,25,29,24,0,17,0,17,0,17,22,29,21,35,21,35,0,17
14000US24510270903,"Census Tract 2709.03, Baltimore, MD",4810,621,4292,563,510,144,3442,564,0,12,100,49,0,12,41,51,199,97,6,12,193,97,518,420,429,410,68,75,0,12,0,12,0,12,2,9,19,30,2,4,17,29
14000US24510271001,"Census Tract 2710.01, Baltimore, MD",2479,298,2465,299,78,75,2338,302,12,17,27,38,0,12,0,12,10,15,0,12,10,15,14,21,9,14,0,12,0,12,0,12,0,12,5,15,0,12,0,12,0,12
14000US24510271002,"Census Tract 2710.02, Baltimore, MD",4203,623,4106,621,137,71,3919,621,0,12,0,12,0,12,0,12,50,44,0,12,50,44,97,96,0,12,65,89,0,12,0,12,0,12,6,10,26,29,26,29,0,12
14000US24510271101,"Census Tract 2711.01, Baltimore, MD",2001,171,1979,174,1034,167,643,114,0,12,203,83,0,12,33,30,66,45,0,12,66,45,22,18,22,18,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510271102,"Census Tract 2711.02, Baltimore, MD",4505,452,4301,451,2745,435,913,171,34,35,264,102,0,12,32,36,313,138,7,13,306,138,204,94,138,88,16,21,0,12,0,12,8,14,30,35,12,17,12,17,0,12
14000US24510271200,"Census Tract 2712, Baltimore, MD",6434,396,6325,381,4997,337,839,228,0,17,377,225,0,17,0,17,112,84,30,44,82,72,109,87,107,87,2,5,0,17,0,17,0,17,0,17,0,17,0,17,0,17
14000US24510271300,"Census Tract 2713, Baltimore, MD",2575,179,2505,169,2163,195,156,95,0,12,130,78,0,12,26,30,30,37,0,12,30,37,70,78,70,78,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510271400,"Census Tract 2714, Baltimore, MD",4040,402,3754,380,2862,270,268,149,6,10,365,160,0,12,88,71,165,89,0,12,165,89,286,189,285,189,0,12,0,12,0,12,0,12,0,12,1,2,1,2,0,12
14000US24510271501,"Census Tract 2715.01, Baltimore, MD",4162,192,3923,204,3126,234,597,110,0,12,146,88,0,12,0,12,54,46,0,12,54,46,239,125,152,104,7,11,0,12,0,12,0,12,53,62,27,45,27,45,0,12
14000US24510271503,"Census Tract 2715.03, Baltimore, MD",850,81,821,81,717,81,34,21,15,23,35,27,0,12,4,7,16,15,0,12,16,15,29,29,21,25,0,12,0,12,0,12,0,12,0,12,8,13,0,12,8,13
14000US24510271600,"Census Tract 2716, Baltimore, MD",4310,724,4270,710,103,74,4089,717,0,12,56,69,0,12,0,12,22,35,0,12,22,35,40,67,14,31,26,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510271700,"Census Tract 2717, Baltimore, MD",4813,607,4793,610,221,153,4510,601,0,12,45,46,0,12,0,12,17,22,0,12,17,22,20,24,0,12,13,19,0,12,0,12,0,12,0,12,7,14,7,14,0,12
14000US24510271801,"Census Tract 2718.01, Baltimore, MD",2902,496,2861,504,37,30,2738,492,22,34,0,12,0,12,15,18,49,52,0,12,49,52,41,54,0,12,0,12,0,12,11,19,0,12,30,49,0,12,0,12,0,12
14000US24510271802,"Census Tract 2718.02, Baltimore, MD",2567,369,2544,373,15,16,2492,376,0,12,0,12,0,12,0,12,37,30,0,12,37,30,23,30,0,12,0,12,0,12,0,12,0,12,19,30,4,6,4,6,0,12
14000US24510271900,"Census Tract 2719, Baltimore, MD",3815,371,3815,371,950,235,2802,415,0,12,44,54,6,9,3,9,10,15,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US24510272003,"Census Tract 2720.03, Baltimore, MD",6122,662,5626,661,3508,468,1884,461,28,43,206,227,0,17,0,17,0,17,0,17,0,17,496,508,315,442,0,17,0,17,0,17,0,17,181,283,0,17,0,17,0,17
14000US24510272004,"Census Tract 2720.04, Baltimore, MD",3898,253,3787,274,2708,311,672,337,0,12,312,207,0,12,95,121,0,12,0,12,0,12,111,93,88,83,10,15,0,12,0,12,13,22,0,12,0,12,0,12,0,12
