geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
14000US11001009903,"Census Tract 99.03, District of Columbia, DC",2056,269,2047,268,95,68,1902,266,0,12,0,12,0,12,12,18,38,45,0,12,38,45,9,15,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009904,"Census Tract 99.04, District of Columbia, DC",2970,412,2608,391,49,46,2502,390,0,12,0,12,12,19,0,12,45,39,6,9,39,37,362,430,1,3,70,72,0,12,0,12,0,12,291,423,0,12,0,12,0,12
14000US11001009905,"Census Tract 99.05, District of Columbia, DC",2926,421,2926,421,15,17,2835,416,0,12,0,12,0,12,16,30,60,70,0,12,60,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001009906,"Census Tract 99.06, District of Columbia, DC",1630,202,1581,204,0,12,1548,207,0,12,8,11,0,12,0,12,25,20,0,12,25,20,49,29,20,21,23,21,0,12,0,12,0,12,6,9,0,12,0,12,0,12
14000US11001009907,"Census Tract 99.07, District of Columbia, DC",2955,262,2910,273,15,19,2885,272,0,12,0,12,0,12,0,12,10,15,0,12,10,15,45,59,0,12,31,37,0,12,0,12,0,12,0,12,14,24,0,12,14,24
14000US11001010100,"Census Tract 101, District of Columbia, DC",2861,292,2541,290,1611,319,345,177,0,12,515,212,0,12,30,48,40,31,0,12,40,31,320,115,264,102,0,12,0,12,0,12,0,12,40,46,16,29,0,12,16,29
14000US11001010200,"Census Tract 102, District of Columbia, DC",2849,282,2663,274,1505,207,794,271,72,49,165,100,0,12,0,12,127,79,0,12,127,79,186,118,135,107,23,25,0,12,0,12,0,12,28,29,0,12,0,12,0,12
14000US11001010300,"Census Tract 103, District of Columbia, DC",4008,617,2749,441,598,153,1954,389,0,12,95,54,0,12,0,12,102,65,0,12,102,65,1259,400,214,154,23,37,0,12,0,12,0,12,952,461,70,109,0,12,70,109
14000US11001010400,"Census Tract 104, District of Columbia, DC",4829,655,4651,720,192,95,4445,723,0,12,0,12,0,12,0,12,14,23,0,12,14,23,178,215,124,204,4,16,0,12,0,12,0,12,16,26,34,52,34,52,0,12
14000US11001010500,"Census Tract 105, District of Columbia, DC",3730,335,3495,316,1409,258,1723,290,0,12,189,180,15,25,15,24,144,121,0,12,144,121,235,115,96,58,59,56,0,12,0,12,22,34,34,59,24,41,0,12,24,41
14000US11001010600,"Census Tract 106, District of Columbia, DC",7805,735,7450,696,4672,433,2042,553,0,17,566,212,0,17,0,17,170,97,19,30,151,93,355,179,280,133,0,17,0,17,0,17,0,17,75,122,0,17,0,17,0,17
14000US11001010700,"Census Tract 107, District of Columbia, DC",1756,194,1517,187,1143,148,117,70,0,12,201,72,35,36,0,12,21,26,0,12,21,26,239,99,160,77,0,12,0,12,0,12,0,12,52,45,27,41,0,12,27,41
14000US11001010800,"Census Tract 108, District of Columbia, DC",6356,625,5800,592,4131,496,638,149,0,17,791,179,8,18,3,7,229,85,18,25,211,85,556,133,415,131,51,36,0,17,14,22,0,17,71,44,5,12,5,12,0,17
14000US11001010900,"Census Tract 109, District of Columbia, DC",3819,583,3736,580,34,36,3604,589,0,12,22,24,0,12,15,23,61,49,0,12,61,49,83,54,7,17,25,22,0,12,0,12,0,12,0,12,51,47,36,41,15,23
14000US11001011000,"Census Tract 110, District of Columbia, DC",4188,328,3907,341,2439,373,1129,389,25,42,231,127,0,12,0,12,83,83,0,12,83,83,281,147,188,125,3,7,0,12,13,20,0,12,34,41,43,66,0,12,43,66
14000US11001011100,"Census Tract 111, District of Columbia, DC",5571,595,5065,505,468,152,4334,510,10,21,80,85,0,17,8,13,165,108,14,21,151,101,506,272,191,222,235,212,0,17,0,17,0,17,0,17,80,123,0,17,80,123
